Time,V_in,V_out
5.510000000000004,-1.0,-0.05051012962781648
5.520000000000004,-1.0,-0.05288088960430651
5.530000000000004,-1.0,-0.055245730083275824
5.5400000000000045,-1.0,-0.057604665845615646
5.550000000000004,-1.0,-0.05995771163542933
5.560000000000004,-1.0,-0.062304882160134606
5.570000000000004,-1.0,-0.06464619209056374
5.580000000000004,-1.0,-0.06698165606106475
5.590000000000004,-1.0,-0.0693112886666034
5.600000000000004,-1.0,-0.07163510446378915
5.610000000000004,-1.0,-0.0739531179763954
5.6200000000000045,-1.0,-0.07626534369197717
5.630000000000004,-1.0,-0.07857179606194338
5.640000000000004,-1.0,-0.08087248950165293
5.650000000000004,-1.0,-0.08316743839050889
5.660000000000004,-1.0,-0.08545665707205358
5.670000000000004,-1.0,-0.08774015985406382
5.680000000000004,-1.0,-0.09001796100864498
5.690000000000004,-1.0,-0.09229007477232719
5.700000000000005,-1.0,-0.09455651534615966
5.710000000000004,-1.0,-0.09681729689580504
5.720000000000004,-1.0,-0.09907243355163556
5.730000000000004,-1.0,-0.10132193940882717
5.740000000000004,-1.0,-0.10356582852745472
5.750000000000004,-1.0,-0.10580411493197275
5.760000000000004,-1.0,-0.10803681260888569
5.770000000000004,-1.0,-0.11026393551205184
5.780000000000005,-1.0,-0.11248549756095436
5.7900000000000045,-1.0,-0.11470151264034609
5.800000000000004,-1.0,-0.11691199460034188
5.810000000000004,-1.0,-0.11911695725650893
5.820000000000004,-1.0,-0.12131641438995816
5.8300000000000045,-1.0,-0.12351037974743545
5.840000000000004,-1.0,-0.12569886704141212
5.850000000000004,-1.0,-0.1278818899501771
5.860000000000005,-1.0,-0.13005946211792763
5.8700000000000045,-1.0,-0.13223159715485966
5.880000000000004,-1.0,-0.13439830863726032
5.890000000000004,-1.0,-0.13655961010759812
5.900000000000004,-1.0,-0.13871551507461435
5.910000000000005,-1.0,-0.14086603701340014
5.920000000000004,-1.0,-0.1430111893643595
5.930000000000004,-1.0,-0.14515098553370756
5.940000000000005,-1.0,-0.1472854388941068
5.950000000000005,-1.0,-0.14941456278431053
5.960000000000004,-1.0,-0.15153837051109725
5.970000000000004,-1.0,-0.15365687534922215
5.980000000000004,-1.0,-0.15577009053978405
5.990000000000005,-1.0,-0.1578780292912759
6.000000000000004,1.0,-0.15998067990029372
6.010000000000004,1.0,-0.15708435097085421
6.020000000000005,1.0,-0.1541952529712656
6.030000000000005,1.0,-0.15131336869977155
6.0400000000000045,1.0,-0.14843868014103892
6.050000000000004,1.0,-0.14557116932520836
6.060000000000004,1.0,-0.14271081832925986
6.070000000000005,1.0,-0.13985760927526242
6.0800000000000045,1.0,-0.13701152433330993
6.090000000000004,1.0,-0.13417254572061035
6.100000000000005,1.0,-0.13134065569353365
6.110000000000005,1.0,-0.12851583654881654
6.1200000000000045,1.0,-0.12569807063165692
6.130000000000004,1.0,-0.12288734033162738
6.140000000000004,1.0,-0.12008362808096777
6.150000000000005,1.0,-0.11728691635627331
6.160000000000005,1.0,-0.11449718767854787
6.170000000000004,1.0,-0.1117144246125817
6.180000000000005,1.0,-0.10893860976461213
6.190000000000005,1.0,-0.10616972578647675
6.200000000000005,1.0,-0.10340775537308639
6.210000000000004,1.0,-0.10065268124258216
6.220000000000004,1.0,-0.09790448615646306
6.230000000000005,1.0,-0.09516315293673965
6.240000000000005,1.0,-0.09242866444872898
6.250000000000004,1.0,-0.08970100360094029
6.260000000000005,1.0,-0.08698015334496255
6.270000000000005,1.0,-0.08426609667535238
6.280000000000005,1.0,-0.08155881662951944
6.2900000000000045,1.0,-0.07885829628761452
6.300000000000004,1.0,-0.07616451877241626
6.310000000000005,1.0,-0.07347746724921789
6.320000000000005,1.0,-0.07079712492571522
6.3300000000000045,1.0,-0.06812347505189222
6.340000000000005,1.0,-0.0654565009199087
6.350000000000005,1.0,-0.06279618586398812
6.360000000000005,1.0,-0.060142513260303024
6.3700000000000045,1.0,-0.05749546652686311
6.380000000000004,1.0,-0.05485502912340197
6.390000000000005,1.0,-0.05222118455126384
6.400000000000005,1.0,-0.04959391635329153
6.410000000000005,1.0,-0.04697320811371209
6.420000000000005,1.0,-0.044359043458024446
6.430000000000005,1.0,-0.04175140605288714
6.440000000000005,1.0,-0.03915027960600392
6.450000000000005,1.0,-0.036555647866011676
6.460000000000004,1.0,-0.03396749462236725
6.470000000000005,1.0,-0.031385803705234146
6.480000000000005,1.0,-0.028810558985370507
6.490000000000005,1.0,-0.026241744374014712
6.500000000000005,1.0,-0.02367934382277309
6.510000000000005,1.0,-0.021123341323507586
6.520000000000005,1.0,-0.018573720908221417
6.530000000000005,1.0,-0.016030466648946973
6.5400000000000045,1.0,-0.013493562657632612
6.550000000000005,1.0,-0.01096299308602942
6.560000000000005,1.0,-0.008438742125579128
6.570000000000005,1.0,-0.005920794003933624
6.580000000000005,1.0,-0.0034091329487079547
6.590000000000005,1.0,-0.0009037432521463301
6.600000000000005,1.0,0.0015953907427506825
